iter	Passed	Remaining
0	14608	686606
1	29790	685172
2	45646	684694
3	60551	666068
4	75756	651508
5	92345	646421
6	108693	636634
7	123873	619368
8	139875	606126
9	156320	594017
10	173355	583104
11	189290	567871
12	211586	569654
13	235289	571416
14	258585	568888
15	281435	562871
16	301624	550020
17	325237	542062
18	349267	533093
19	373535	522949
20	392204	504262
21	415205	490697
22	438204	476308
23	464484	464484
24	492048	452684
25	530299	448715
26	572805	445515
27	614630	439021
28	639696	419111
29	680227	408136
30	719467	394546
31	763785	381892
32	789418	358826
33	827117	340577
34	871090	323548
35	924978	308326
36	966480	287332
37	1026644	270169
38	1105673	255155
39	1185172	237034
40	1214868	207416
41	1270740	181534
